time,plv,part,pven,qao,qper,qmv,vlv,vart,vven,accuracy,est,phase,cycle,cpu
116.0,0.7002,11.136687579701961,1.903819460942794,0.0,76.9405676563264,240.72389218855878,79.29113394177456,778.417189492549,4142.291676565676,-1,-1,-1,1,-1
118.0,0.7105,11.130532334289455,1.9032735165276866,0.0,76.89382348134808,238.55470330553734,79.77258172615169,778.2633083572364,4141.964109916612,-1,-1,-1,1,-1
120.0,0.7206,11.124380828410949,1.9027346469282733,0.0,76.84705151235563,236.42692938565463,80.24969113276276,778.1095207102737,4141.640788156964,-1,-1,-1,1,-1
122.0,0.7308,11.118233064289962,1.9022027140020281,0.0,76.80025291906611,234.28054280040564,80.72254499153408,777.955826607249,4141.321628401217,-1,-1,-1,1,-1
124.0,0.7411,11.112089044056438,1.901677779702424,0.0,76.75342720295012,232.11555594048477,81.19110607713489,777.802226101411,4141.006667821454,-1,-1,-1,1,-1
126.0,0.7514,11.105948769880202,1.9011599059399653,0.0,76.70657386616865,229.95198118799303,81.65533718901585,777.648719247005,4140.695943563979,-1,-1,-1,1,-1
128.0,0.7617,11.09981224397091,1.900649087915558,0.0,76.65969296712794,227.78981758311159,82.11524115139184,777.4953060992727,4140.389452749335,-1,-1,-1,1,-1
130.0,0.772,11.093679468533537,1.9001453208335064,0.0,76.61278456416693,225.62906416670128,82.57082078655806,777.3419867133384,4140.087192500104,-1,-1,-1,1,-1
132.0,0.7826,11.087550445768402,1.8996485999014976,0.0,76.56584871555754,223.4097199802995,83.02207891489147,777.18876114421,4139.789159940899,-1,-1,-1,1,-1
134.0,0.7932,11.081425177871155,1.8991591203306144,0.0,76.51888381283784,221.19182406612288,83.46889835485206,777.0356294467789,4139.495472198369,-1,-1,-1,1,-1
136.0,0.8038,11.075303667166132,1.8986768771964384,0.0,76.47188991641411,218.97537543928766,83.91128200298431,776.8825916791533,4139.206126317863,-1,-1,-1,1,-1
138.0,0.8147,11.069185915972817,1.8982018655780288,0.0,76.42486708662322,216.70037311560577,84.34923275386288,776.7296478993204,4138.921119346817,-1,-1,-1,1,-1
140.0,0.8257,11.063071926605884,1.8977342805579323,0.0,76.37781371706627,214.40685611158648,84.7826335000941,776.5767981651471,4138.640568334759,-1,-1,-1,1,-1
142.0,0.8361,11.056961701508522,1.8972741837499492,0.0,76.33072931465476,212.23483674998985,85.21144721231727,776.424042537713,4138.3645102499695,-1,-1,-1,1,-1
144.0,0.8466,11.050855243163351,1.8968211700584985,0.0,76.28361727587378,210.0442340116997,85.63591688581725,776.2713810790838,4138.092702035099,-1,-1,-1,1,-1
