x,y,z,u,v,efx,efy,efz,esx,esy,esz,enx,eny,enz,xi,theta,phi
14.364168012,0,-47.736435154,-0.7679748070195205,1,-0.596875384,0.621438426,-0.5074978409999999,-0.647762353,0,0.76184246,-0.473438179,-0.783463007,-0.402544417,0.6852077291196549,2.673304979739568,0
13.225813376,0,-46.248930994,-0.7733479940175012,0.6108426331338541,-0.398691995,0.908874682,-0.122439806,-0.660661468,-0.19204573,0.725703013,-0.636059053,-0.370223244,-0.677025577,0.6335143211849045,2.669790493230366,0
12.103670424,0,-44.891400861,-0.7786210020800878,0.2482617579301121,-0.119666221,0.966690106,0.226252589,-0.679136747,-0.24593462,0.691584732,-0.724191462,0.0708971155,-0.685944841,0.5818209132811701,2.666367949101199,0
10.995231848,0,-43.660406911,-0.7855147204127839,-0.09386620757991559,0.133966638,0.812049816,0.568003553,-0.687509772,-0.336639492,0.643431555,-0.713710903,0.476706355,-0.513193723,0.5301275053464197,2.663068671770688,0
9.8982003688,0,-42.552864952,-0.793200365580521,-0.4150438704525561,0.332921814,0.529114452,0.780513269,-0.687253366,-0.430590569,0.585042368,-0.6456360249999999,0.731183738,-0.220282695,0.4784340974116693,2.659925821143196,0
8.8105000247,0,-41.566033286,-0.8016724900915578,-0.7152863924941522,0.477079339,0.291976191,0.828942222,-0.730674237,-0.392357477,0.558722444,-0.48837533,0.872241661,-0.026153835,0.426740689507935,2.656973852389223,0
7.7302848435,0,-40.697501182,-0.8116756009600808,-1,0.536261794,0.289098214,0.7929978,-0.828369646,0,0.560181872,-0.161947579,0.957299443,-0.239480185,0.3750472815731846,2.65424782250543,0
1.2013058831e-15,19.618813913,-42.121171807,-0.6545984829274376,1,-0.63348567,-0.468113465,-0.616089028,-4.87552274e-17,-0.796233288,0.604989712,0.773754422,-0.383252313,-0.504402378,0.6852077291196549,2.477336768400072,1.570796326794897
1.1054578493e-15,18.053496732,-40.721495217,-0.659799636335457,0.6245426188758436,-0.9119582979999999,-0.330460886,-0.243161808,0.140122777,-0.807895772,0.572424692,0.385613368,-0.48795494,-0.7830723510000001,0.6335143211849045,2.472351545688649,1.570796326794897
1.0110862191e-15,16.512291051,-39.44306497,-0.6657257677209423,0.2699792342265144,-0.98273424,-0.125697923,0.135769828,0.179746878,-0.8225814970000001,0.539491187,-0.0438688267,-0.5545806639999999,-0.830972811,0.5818209132811701,2.467496741244559,1.570796326794897
9.179814143100001e-16,14.991774199,-38.282819025,-0.6723891266416125,-0.0696261933574579,-0.850185641,0.06383322230000001,0.522598981,0.244946431,-0.830690652,0.499954284,-0.466031782,-0.553062709,-0.690605545,0.5301275053464197,2.462816788074649,1.570796326794897
8.2595023693e-16,13.488791013,-37.238039781,-0.6797801701414431,-0.3937181076570331,-0.569739949,0.214720417,0.793278976,0.31949747,-0.831463324,0.454521845,-0.757177494,-0.512409878,-0.405115242,0.4784340974116693,2.458358722782392,1.570796326794897
7.3481650831e-16,12.000464278,-36.306341396,-0.6878580488001296,-0.7020813177901594,-0.317516475,0.326146145,0.8903998990000001,0.298183156,-0.857016171,0.42025003,-0.90015004,-0.39893856,-0.174865466,0.426740689507935,2.454171419278115,1.570796326794897
6.4442150745e-16,10.524201883,-35.485655583,-0.697506921563421,-1,-0.305870499,0.37838567,0.873651831,-5.61886944e-17,-0.917631017,0.397433411,-0.952073126,-0.121563156,-0.280676257,0.3750472815731846,2.450304605149474,1.570796326794897
6.9863529879,16.866548135,-43.818039969,-0.6866324171072077,1,-0.774118281,-0.223788967,-0.592164999,-0.291665138,-0.704141931,0.647391371,0.561847252,-0.673871381,-0.479817701,0.6852077291196549,2.530628796046351,1.178097245096172
6.4300970355,15.523627471,-42.391481464,-0.6917821105855009,0.6213483342093435,-0.976109029,0.0242798856,-0.215920472,-0.155029205,-0.774095752,0.61379289,0.152240299,-0.632602761,-0.759365945,0.6335143211849045,2.526043528581819,1.178097245096172
5.8822100249,14.200911219,-41.088822652,-0.697677734409113,0.2649451174901751,-0.953570418,0.256826078,0.157301697,-0.121216361,-0.805416391,0.5801818949999999,-0.275699206,-0.534176753,-0.799152767,0.5818209132811701,2.521578216166961,1.178097245096172
5.3414730062,12.895456575,-39.906889362,-0.7052589356179666,-0.07521114378275628,-0.747143804,0.394089317,0.535228686,-0.0578221138,-0.840749133,0.538328429,-0.662142537,-0.371260696,-0.650947583,0.5301275053464197,2.517273727030227,1.178097245096172
4.8067644225,11.60455586,-38.842854898,-0.712679744691919,-0.3986012931474263,-0.423828439,0.437498117,0.793073043,0.0159723731,-0.871859117,0.489496234,-0.905601644,-0.220129683,-0.362530805,0.4784340974116693,2.513173324114926,1.178097245096172
4.2770643722,10.325746814,-37.894227793,-0.7208299465717092,-0.7050862064441525,-0.147186564,0.453292035,0.879125956,-0.018625834,-0.889918772,0.455738584,-0.988933362,-0.0507041423,-0.139427029,0.426740689507935,2.509321960267472,1.178097245096172
3.7514576701,9.056819985700001,-37.058838359,-0.7305535278521531,-1,-0.117503947,0.499723188,0.8581780449999999,-0.344244544,-0.831079846,0.436808865,-0.9314979960000001,0.244096344,-0.269682143,0.3750472815731846,2.505765373522646,1.178097245096172
12.543436609,12.543436609,-44.414157583,-0.6986415108337707,1,-0.809056402,0.0793081736,-0.582355521,-0.529237352,-0.529237352,0.663185985,0.255608224,-0.84475916,-0.470155715,0.6852077291196549,2.550332227261656,0.7853981633974483
11.545445534,11.545445534,-42.978226482,-0.703745921682302,0.6200697514608458,-0.897560449,0.390456158,-0.204766278,-0.426270883,-0.649914115,0.629209645,-0.112598287,-0.652039593,-0.749777297,0.6335143211849045,2.545894833523165,0.7853981633974483
10.562345206,10.562345206,-41.667123878,-0.709602220894512,0.262924985513022,-0.781878144,0.6009338910000001,0.165966945,-0.40632132,-0.693106522,0.5954043449999999,-0.472831422,-0.398097736,-0.786097092,0.5818209132811701,2.541573526314072,0.7853981633974483
9.591946994200001,9.591946994200001,-40.477635909,-0.7162312955126019,-0.0774581315965438,-0.532426595,0.652154224,0.539645058,-0.360148168,-0.75146501,0.552805243,-0.766038653,-0.0999760339,-0.634972105,0.5301275053464197,2.537407855872709,0.7853981633974483
8.632238451499999,8.632238451499999,-39.406897204,-0.7245386320211014,-0.4005710808928232,-0.21359656,0.571216386,0.792520252,-0.301806944,-0.810142053,0.502575788,-0.929133509,0.131839656,-0.345440628,0.4784340974116693,2.533439689923308,0.7853981633974483
7.6813913127,7.6813913127,-38.452378793,-0.7326822975889492,-0.7063014748203793,0.0495230044,0.483218231,0.874098171,-0.343025278,-0.813708289,0.469268025,-0.938019792,0.323077331,-0.125458789,0.426740689507935,2.52971253159426,0.7853981633974483
6.7377673093,6.7377673093,-37.611874933,-0.7423991807472725,-1,0.0946558062,0.515852501,0.851432015,-0.630674231,-0.630674231,0.452216795,-0.770253395,0.579781176,-0.265637901,0.3750472815731846,2.526270643880192,0.7853981633974483
16.866548135,6.9863529879,-43.818039969,-0.6866324171072077,1,-0.705626982,0.38914159,-0.592164999,-0.704141931,-0.291665138,0.647391371,-0.0792130214,-0.873785025,-0.479817701,0.6852077291196549,2.530628796046351,0.3926990816987241
15.523627471,6.4300970355,-42.391481464,-0.6917821105855009,0.6213483342093435,-0.673044842,0.707381785,-0.215920472,-0.6569905579999999,-0.437746154,0.61379289,-0.339667554,-0.55496785,-0.759365945,0.6335143211849045,2.526043528581819,0.3926990816987241
14.200911219,5.8822100249,-41.088822652,-0.697677734409113,0.2649451174901751,-0.492672648,0.85587957,0.157301697,-0.655228302,-0.483802481,0.5801818949999999,-0.572668782,-0.182771227,-0.799152767,0.5818209132811701,2.521578216166961,0.3926990816987241
12.895456575,5.3414730062,-39.906889362,-0.7052589356179666,-0.07521114378275628,-0.249647222,0.8069736790000001,0.535228686,-0.635385822,-0.553613005,0.538328429,-0.730726434,0.205684522,-0.650947583,0.5301275053464197,2.517273727030227,0.3926990816987241
11.60455586,4.8067644225,-38.842854898,-0.712679744691919,-0.3986012931474263,0.00966592225,0.609049849,0.793073043,-0.60520332,-0.627791667,0.489496234,-0.7960122549999999,0.484701872,-0.362530805,0.4784340974116693,2.513173324114926,0.3926990816987241
10.325746814,4.2770643722,-37.894227793,-0.7208299465717092,-0.7050862064441525,0.216449254,0.424602489,0.879125956,-0.642438052,-0.616097145,0.455738584,-0.735134729,0.663428243,-0.139427029,0.426740689507935,2.509321960267472,0.3926990816987241
9.056819985700001,3.7514576701,-37.058838359,-0.7305535278521531,-1,0.270269817,0.436445493,0.8581780449999999,-0.831079846,-0.344244544,0.436808865,-0.48606637,0.83127073,-0.269682143,0.3750472815731846,2.505765373522646,0.3926990816987241
19.618813913,0,-42.121171807,-0.6545984829274376,1,-0.468113465,0.63348567,-0.616089028,-0.796233288,0,0.604989712,-0.383252313,-0.773754422,-0.504402378,0.6852077291196549,2.477336768400072,0
18.053496732,0,-40.721495217,-0.659799636335457,0.6245426188758436,-0.330460886,0.9119582979999999,-0.243161808,-0.807895772,-0.140122777,0.572424692,-0.48795494,-0.385613368,-0.7830723510000001,0.6335143211849045,2.472351545688649,0
16.512291051,0,-39.44306497,-0.6657257677209423,0.2699792342265144,-0.125697923,0.98273424,0.135769828,-0.8225814970000001,-0.179746878,0.539491187,-0.5545806639999999,0.0438688267,-0.830972811,0.5818209132811701,2.467496741244559,0
14.991774199,0,-38.282819025,-0.6723891266416125,-0.0696261933574579,0.06383322230000001,0.850185641,0.522598981,-0.830690652,-0.244946431,0.499954284,-0.553062709,0.466031782,-0.690605545,0.5301275053464197,2.462816788074649,0
13.488791013,0,-37.238039781,-0.6797801701414431,-0.3937181076570331,0.214720417,0.569739949,0.793278976,-0.831463324,-0.31949747,0.454521845,-0.512409878,0.757177494,-0.405115242,0.4784340974116693,2.458358722782392,0
12.000464278,0,-36.306341396,-0.6878580488001296,-0.7020813177901594,0.326146145,0.317516475,0.8903998990000001,-0.857016171,-0.298183156,0.42025003,-0.39893856,0.90015004,-0.174865466,0.426740689507935,2.454171419278115,0
10.524201883,0,-35.485655583,-0.697506921563421,-1,0.37838567,0.305870499,0.873651831,-0.917631017,0,0.397433411,-0.121563156,0.952073126,-0.280676257,0.3750472815731846,2.450304605149474,0
1.4173158455e-15,23.146524312,-36.713803677,-0.5603113415236378,1,-0.64647588,-0.373449201,-0.665285376,-5.33951267e-17,-0.8720085950000001,0.489490562,0.762934425,-0.316443842,-0.563732523,0.6852077291196549,2.327179307763315,1.570796326794897
